square_id,total_traffic
1,77228.09460449219
2,77543.75305175781
3,77879.75903320312
4,76313.7861328125
5,69503.39776611328
6,77879.75903320312
7,77879.75895690918
8,77879.75903320312
9,77879.75903320312
10,46959.165771484375
11,25089.86444091797
12,18495.75274658203
13,11419.975799560547
14,18253.572463989258
15,19081.16616821289
16,22887.635345458984
17,27410.633911132812
18,27410.65542602539
19,27412.690551757812
20,27413.568603515625
21,27423.232879638672
22,27435.952880859375
23,29180.230194091797
24,41794.34344482422
25,42154.224609375
26,42154.224609375
27,44820.530212402344
28,49705.42462158203
29,54514.57507324219
30,56483.165771484375
31,56889.295959472656
32,63331.31823730469
33,69819.95788574219
34,64127.145263671875
35,55646.76348876953
36,55646.76348876953
37,55646.76348876953
38,55646.76348876953
39,59991.74865722656
40,59206.96307373047
41,72680.22119140625
42,78541.88391113281
43,129140.58489990234
44,189395.62231445312
45,189395.62231445312
46,189395.62231445312
47,734970.0102539062
48,1066980.8525390625
49,371482.17626953125
50,106783.78967285156
51,89684.41442871094
52,92579.3434753418
53,89462.65673828125
54,99432.95520019531
55,108329.05493164062
56,93578.40563964844
57,77402.23760986328
58,77977.11572265625
59,73705.9605102539
60,65993.9439086914
61,46271.20556640625
62,46271.20556640625
63,47655.728759765625
64,69795.37292480469
65,104733.1357421875
66,106215.76318359375
67,115788.0849609375
68,146231.91967773438
69,119748.89013671875
70,83277.3525390625
71,78311.12084960938
72,88892.38024902344
73,101943.11279296875
74,102413.42248535156
75,102454.92993164062
76,102454.92993164062
77,102454.92993164062
78,102454.92993164062
79,102454.92993164062
80,93066.6689453125
81,56633.87780761719
82,24330.38641357422
83,23768.51089477539
84,23768.51091003418
85,23768.51089477539
86,27927.339904785156
87,39367.731384277344
88,40596.18960571289
89,40596.18960571289
90,40596.18960571289
91,44009.893493652344
92,48819.07209777832
93,71286.899269104
94,120981.06718635559
95,120981.06718635559
96,120981.06718635559
97,120981.06718635559
98,121022.6050632894
99,120981.06718635559
100,120976.45628547668
101,77392.97998046875
102,69632.93310546875
103,77879.75903320312
104,77879.75903320312
105,77879.75903320312
106,77879.75903320312
107,77879.75903320312
108,77879.75903320312
109,77879.75903320312
110,46736.03955078125
111,27670.834045410156
112,2913.4912452697754
113,11082.769226074219
114,19282.272094726562
115,21131.07763671875
116,27030.535095214844
117,27410.596740722656
118,27410.596740722656
119,27410.596740722656
120,27410.596740722656
121,27411.203033447266
122,27432.645050048828
123,33614.10565185547
124,41955.84539794922
125,45513.24871826172
126,48612.87487792969
127,52582.77600097656
128,56751.182067871094
129,56889.295959472656
130,56889.295959472656
131,61060.7890625
132,59181.9423828125
133,54332.82421875
134,52813.777099609375
135,55907.42218017578
136,55646.572998046875
137,55635.645263671875
138,55645.255920410156
139,55646.76354980469
140,61167.535064697266
141,76978.63354492188
142,80848.08770751953
143,81378.10217285156
144,107569.1900024414
145,127898.4633178711
146,476917.3330078125
147,1359652.08984375
